exec,lat,margin,L,feasible,cfg,cagr_is,maxdd_is,liqs_is,trades_is,sharpe_is,years_is,edge_bp_is,edge_t_is,cagr_oos,maxdd_oos,worst_day_oos,liqs_oos,trades_oos,rejected_oos,sharpe_oos,years_oos,edge_bp_oos,edge_t_oos,n_oos_all
maker,0,mc,1,True,all5 W240 k80 x0.0 H480 both1 conf0,0.12089,-0.19278,0,97,0.73549,2022:+0.2528;2023:+0.0721;2024:+0.0485;2025:+0.0000,48.722,3.293,0.020223,-0.043217,-0.00016944,0,6,0,0.93148,2025:+0.0271;2026:+0.0066,83.854,2.0575,23
maker,0,mc,3,True,all5 W240 k80 x0.0 H480 both1 conf0,0.34948,-0.51663,0,97,0.66833,2022:+0.7365;2023:+0.2297;2024:+0.1509;2025:+0.0000,48.722,3.293,0.061301,-0.12961,-0.00050831,0,6,0,0.92934,2025:+0.0827;2026:+0.0198,83.854,2.0575,23
maker,0,mc,5,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.12185,-0.027362,0,13,1.5398,2022:+0.0875;2023:+0.2244;2024:+0.0604;2025:+0.0000,74.59,4.8668,0.11985,-0.034625,0,0,5,0,1.0922,2025:+0.1688;2026:+0.0330,61.153,4.494,7
maker,0,mc,10,False,,,,,,,,,,,,,,,,,,,,
maker,0,mc,15,False,,,,,,,,,,,,,,,,,,,,
maker,0,mc,20,False,,,,,,,,,,,,,,,,,,,,
maker,0,pm,1,True,all5 W240 k80 x0.0 H480 both1 conf0,0.12089,-0.19278,0,97,0.73549,2022:+0.2528;2023:+0.0721;2024:+0.0485;2025:+0.0000,48.722,3.293,0.020223,-0.043217,-0.00016944,0,6,0,0.93148,2025:+0.0271;2026:+0.0066,83.854,2.0575,23
maker,0,pm,3,True,all5 W240 k80 x0.0 H480 both1 conf0,0.34948,-0.51663,0,97,0.66833,2022:+0.7365;2023:+0.2297;2024:+0.1509;2025:+0.0000,48.722,3.293,0.061301,-0.12961,-0.00050831,0,6,0,0.92934,2025:+0.0827;2026:+0.0198,83.854,2.0575,23
maker,0,pm,5,True,all5 W240 k80 x0.0 H480 both1 conf0,0.49006,-0.84545,0,97,0.62584,2022:+0.8646;2023:+0.4070;2024:+0.2610;2025:+0.0000,48.722,3.293,0.10324,-0.21594,-0.00084718,0,6,0,0.92725,2025:+0.1401;2026:+0.0329,83.854,2.0575,23
maker,0,pm,10,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.2518,-0.054725,0,13,1.5397,2022:+0.1784;2023:+0.4820;2024:+0.1232;2025:+0.0000,74.59,4.8668,0.2482,-0.06925,0,0,5,0,1.0832,2025:+0.3568;2026:+0.0660,61.153,4.494,7
