exec,lat,margin,L,n_cfg,n_feasible_IS,n_IS_pos,n_OOS_feasible,n_OOS_pos,n_both_pos,OOS_cagr_median,OOS_cagr_q90,OOS_cagr_max,n_OOS_liq,IS_cagr_median
maker,0,mc,1,576,576,165,576,373,165,0.0058055,0.02349,0.065581,0,-0.05081
maker,0,mc,3,576,576,156,576,371,156,0.017344,0.071147,0.19386,0,-0.16169
maker,0,mc,5,576,576,143,576,371,143,0.028795,0.11985,0.31927,0,-0.52592
maker,0,mc,10,576,0,0,0,0,0,,,,0,
maker,0,mc,15,576,0,0,0,0,0,,,,0,
maker,0,mc,20,576,0,0,0,0,0,,,,0,
maker,0,pm,1,576,576,165,576,373,165,0.0058055,0.02349,0.065581,0,-0.05081
maker,0,pm,3,576,576,156,576,371,156,0.017344,0.071147,0.19386,0,-0.16169
maker,0,pm,5,576,576,155,576,371,155,0.028795,0.11985,0.31927,0,-0.28702
maker,0,pm,10,576,576,143,576,370,143,0.056603,0.2482,0.62455,0,-0.96534
maker,0,pm,15,576,576,143,576,327,143,0.048068,0.38516,0.60518,42,-0.99087
maker,0,pm,20,576,576,142,576,254,142,-0.12965,0.39478,0.80133,168,-0.99737
maker,0,sep,1,576,576,165,576,371,165,0.0058038,0.023487,0.065568,9,-0.050977
maker,0,sep,3,576,576,163,576,304,147,0.0025653,0.076117,0.13813,215,-0.15607
maker,0,sep,5,576,576,142,576,306,97,0.014516,0.25239,0.39323,371,-0.33193
maker,0,sep,10,576,0,0,0,0,0,,,,0,
maker,0,sep,15,576,0,0,0,0,0,,,,0,
maker,0,sep,20,576,0,0,0,0,0,,,,0,
taker,0,mc,1,576,576,155,576,281,151,-0.0013005,0.025114,0.040773,0,-0.074595
taker,0,mc,3,576,576,153,576,279,149,-0.0053106,0.076458,0.12533,0,-0.2278
taker,0,mc,5,576,576,142,576,278,138,-0.010324,0.12815,0.214,0,-0.56872
taker,0,mc,10,576,0,0,0,0,0,,,,0,
taker,0,mc,15,576,0,0,0,0,0,,,,0,
taker,0,mc,20,576,0,0,0,0,0,,,,0,
taker,0,pm,1,576,576,155,576,281,151,-0.0013005,0.025114,0.040773,0,-0.074595
taker,0,pm,3,576,576,153,576,279,149,-0.0053106,0.076458,0.12533,0,-0.2278
taker,0,pm,5,576,576,148,576,278,144,-0.010324,0.12815,0.214,0,-0.40177
taker,0,pm,10,576,576,140,576,265,136,-0.02854,0.26064,0.4543,9,-0.98494
taker,0,pm,15,576,576,138,576,210,134,-0.1861,0.33265,0.72241,69,-0.99713
taker,0,pm,20,576,576,135,576,245,131,-0.15039,0.52449,1.0199,60,-0.999
taker,0,sep,1,576,576,154,576,281,150,-0.0013658,0.025111,0.040771,9,-0.074673
taker,0,sep,3,576,576,151,576,261,138,-0.010278,0.10171,0.16488,215,-0.21241
taker,0,sep,5,576,576,142,576,265,128,-0.023303,0.16896,0.42895,322,-0.37919
taker,0,sep,10,576,0,0,0,0,0,,,,0,
taker,0,sep,15,576,0,0,0,0,0,,,,0,
taker,0,sep,20,576,0,0,0,0,0,,,,0,
taker,1,mc,1,576,576,31,576,134,10,-0.012413,0.017277,0.043985,0,-0.12408
taker,1,mc,3,576,576,30,576,131,10,-0.038732,0.039905,0.12542,0,-0.35741
taker,1,mc,5,576,576,27,576,130,10,-0.064815,0.050096,0.19923,0,-0.69193
taker,1,mc,10,576,0,0,0,0,0,,,,0,
taker,1,mc,15,576,0,0,0,0,0,,,,0,
taker,1,mc,20,576,0,0,0,0,0,,,,0,
taker,1,pm,1,576,576,31,576,134,10,-0.012413,0.017277,0.043985,0,-0.12408
taker,1,pm,3,576,576,30,576,131,10,-0.038732,0.039905,0.12542,0,-0.35741
taker,1,pm,5,576,576,27,576,130,10,-0.064815,0.050096,0.19923,0,-0.55156
taker,1,pm,10,576,576,27,576,121,10,-0.14923,0.077368,0.356,6,-0.99417
taker,1,pm,15,576,576,26,576,105,9,-0.27126,0.082645,0.48002,66,-0.999
taker,1,pm,20,576,576,26,576,40,9,-0.5907,-0.018944,0.15124,174,-0.999
taker,1,sep,1,576,576,31,576,133,10,-0.012473,0.01715,0.043976,9,-0.12418
taker,1,sep,3,576,576,32,576,42,10,-0.17119,-0.0015591,0.023563,215,-0.32114
taker,1,sep,5,576,576,26,576,54,10,-0.30656,-0.0023087,0.0906,324,-0.53932
taker,1,sep,10,576,0,0,0,0,0,,,,0,
taker,1,sep,15,576,0,0,0,0,0,,,,0,
taker,1,sep,20,576,0,0,0,0,0,,,,0,
