family,rule,L,config,cagr_is,cagr_oos,maxdd_is,maxdd_oos,worst_day_is,worst_day_oos,sharpe_is,sharpe_oos,liq_is,liq_oos,trades_is,trades_oos,per_year
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",A:max_IS_CAGR,1,a=-30 b=5 dir=recv sig=pred hedge=none exec=maker universe=all thr=4.0 K=3,2.09596322522473,-0.994837638562639,-0.4531615813533302,-0.9999705246152721,-0.21483959527144536,-0.6369698341579807,1.9057061643409634,-0.9237185698819149,0,0,2653,24077,"{""2022"": 4.295152900045606, ""2023"": 0.19214817678774176, ""2024"": 3.715451497118468, ""2025"": -0.4555435930006805, ""2026"": -0.9997154187451731}"
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",B:max_IS_Sharpe(trades_IS>=100),1,a=-30 b=5 dir=recv sig=pred hedge=none exec=maker universe=all thr=4.0 K=3,2.09596322522473,-0.994837638562639,-0.4531615813533302,-0.9999705246152721,-0.21483959527144536,-0.6369698341579807,1.9057061643409634,-0.9237185698819149,0,0,2653,24077,"{""2022"": 4.295152900045606, ""2023"": 0.19214817678774176, ""2024"": 3.715451497118468, ""2025"": -0.4555435930006805, ""2026"": -0.9997154187451731}"
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",A:max_IS_CAGR,3,a=-30 b=5 dir=recv sig=pred hedge=none exec=maker universe=all thr=4.0 K=3,7.62103025741685,-1.0,-0.8516282239030502,-1.0,-0.5478347972187918,-1.0,1.8665591781865716,-0.6006219842608962,0,34,2653,24077,"{""2022"": 36.224558704538154, ""2023"": -0.419424778241688, ""2024"": 28.82308931840702, ""2025"": -1.0, ""2026"": null}"
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",B:max_IS_Sharpe(trades_IS>=100),3,a=-30 b=5 dir=recv sig=pred hedge=none exec=maker universe=all thr=4.0 K=3,7.62103025741685,-1.0,-0.8516282239030502,-1.0,-0.5478347972187918,-1.0,1.8665591781865716,-0.6006219842608962,0,34,2653,24077,"{""2022"": 36.224558704538154, ""2023"": -0.419424778241688, ""2024"": 28.82308931840702, ""2025"": -1.0, ""2026"": null}"
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",A:max_IS_CAGR,5,a=-5 b=1 dir=recv sig=pred hedge=none exec=maker universe=okx thr=4.0 K=3,1.4947636203019457,-1.0,-0.8103773883028953,-1.0,-0.317629857883232,-1.0,1.4170844094414357,-6.17784552050883,0,6,923,13314,"{""2022"": -0.24030858108909992, ""2023"": 0.8279914645205522, ""2024"": 10.208940774622622, ""2025"": -0.9999999989395876, ""2026"": null}"
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",B:max_IS_Sharpe(trades_IS>=100),5,a=-30 b=1 dir=recv sig=pred hedge=none exec=maker universe=all thr=4.0 K=3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.632728976232519,-0.046666288308439545,6,158,2653,24077,"{""2022"": -1.0, ""2023"": null, ""2024"": null, ""2025"": -1.0, ""2026"": null}"
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",A:max_IS_CAGR,10,a=-5 b=5 dir=recv sig=lag hedge=spot exec=maker universe=okx thr=4.0 K=1,-0.0060177635576146304,-0.3204181117004291,-0.20947387949885143,-0.5487896568280558,-0.029834262578212756,-0.3308964623559256,-0.3149391693785903,-1.0845879330791999,0,0,2,10,"{""2024"": -0.017961108107628743, ""2025"": -0.044430550703866256, ""2026"": -0.45008705825358863}"
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",B:max_IS_Sharpe(trades_IS>=100),10,a=-30 b=1 dir=recv sig=pred hedge=none exec=maker universe=all thr=4.0 K=1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.4499442005599237,-3.1698904989328143,34,548,1859,10689,"{""2022"": -1.0, ""2023"": null, ""2024"": null, ""2025"": -1.0, ""2026"": null}"
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",A:max_IS_CAGR,15,a=-5 b=5 dir=recv sig=lag hedge=spot exec=maker universe=okx thr=4.0 K=1,-0.009147084416948892,0.008015962013086186,-0.31006764919964513,-0.6594798307061401,-0.04475139386731919,0.0,-0.314939169378589,0.775446940265027,0,0,2,1,"{""2024"": -0.027215502079544374, ""2025"": 0.013388213586846831}"
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",B:max_IS_Sharpe(trades_IS>=100),15,a=-30 b=1 dir=recv sig=pred hedge=none exec=maker universe=all thr=4.0 K=1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7930250787340589,-7.520140103798343,118,1239,1786,10361,"{""2022"": -1.0, ""2023"": null, ""2024"": null, ""2025"": -1.0, ""2026"": null}"
